Name,Country,Age,Height,Weight,Sex,Date of birth,Place of birth,Sport,Event,Medal_Winner,Gold,Silver,Bronze
Alan Gogaev,Russian Federation,22,170,66,Male,3/8/1990,DIGORA (RUS),Wrestling,Men's 66kg Freestyle,Not Won,,,
Alan Khugaev,Russian Federation,23,178,84,Male,4/27/1989,VLADIKAVKAZ (RUS),Wrestling,Men's 84kg Greco-Roman,Won,1,,
Alan Pulido,Mexico,21,175,71,Male,3/8/1991,,Football,Men's Football,Not Won,,,
Alan Wills,Great Britain,31,179,84,Male,8/3/1981,PETERLEE,Archery,"Men's Individual, Men's Team",Not Won,,,
Alana Boyd,Australia,28,171,59,Female,5/10/1984,Melbourne (AUS),Athletics,Women's Pole Vault,Not Won,,,
Alana Millington,New Zealand,24,171,67,Female,6/28/1988,KOGARAH (AUS),Hockey,Women's Hockey,Not Won,,,
Alana Nicholls,Australia,26,172,66,Female,4/6/1986,Stirling (AUS),Canoe Sprint,Women's Kayak Single (K1) 500m,Not Won,,,
Alastair Wilson,Great Britain,28,187,84,Male,12/19/1983,,Hockey,Men's Hockey,Not Won,,,
Alba Cabello Rodilla,Spain,26,163,,Female,4/30/1986,Madrid (ESP),Synchronised Swimming,Women's Teams,Not Won,,,
Albert Bravo,Venezuela,24,198,85,Male,8/29/1987,MARACAIBO (VEN),Athletics,"Men's 400m, Men's 4 x 400m Relay",Not Won,,,
Albert Espanol Lifante,Spain,26,189,86,Male,10/29/1985,Barcelona (ESP),Water Polo,Men's Water Polo,Not Won,,,
Albert Minczer,Hungary,25,179,63,Male,10/1/1986,ESZTERGOM (HUN),Athletics,Men's 3000m Steeplechase,Not Won,,,
Albert Subirats Altes,Venezuela,25,193,88,Male,9/25/1986,Valencia (VEN),Swimming,Men's 100m Butterfly,Not Won,,,
Alberta Boatema Ampomah,Ghana,17,,80,Female,11/3/1994,Accra (GHA),Weightlifting,Women's +75kg,Not Won,,,
Alberto Aguilar,Venezuela,27,194,80,Male,3/9/1985,SAN FEERNANDO (VEN),Athletics,Men's 4 x 400m Relay,Not Won,,,
Alberto Botia,Spain,23,189,82,Male,1/27/1989,,Football,Men's Football,Not Won,,,
Alberto Busnari,Italy,33,172,,Male,10/4/1978,Milano (ITA),Gymnastics - Artistic,"Men's Team, Men's Qualification",Not Won,,,
Alberto Ezequiel Melian,Argentina,22,170,,Male,1/2/1990,Cordoba (ARG),Boxing,Men's Bantam (56kg),Not Won,,,
Alberto Fernandez,Spain,29,180,106,Male,6/16/1983,Madrid (ESP),Shooting,Men's Trap,Not Won,,,
Alberto Michan Halbinger,Mexico,33,173,70,Male,12/2/1978,Mexico D.F. (MEX),Equestrian,"Individual Jumping, Team Jumping, ROSALIA",Not Won,,,
Alberto Paulo,Portugal,26,174,59,Male,10/3/1985,FUNCHAL (POR),Athletics,Men's 3000m Steeplechase,Not Won,,,
Albina Mayorova,Russian Federation,35,167,50,Female,5/16/1977,CHUVASHIA REGION (RUS),Athletics,Women's Marathon,Not Won,,,
Aldemir da Silva Junior,Brazil,20,,,Male,6/8/1992,Rio De Janeiro (BRA),Athletics,"Men's 200m, Men's 4 x 100m Relay",Not Won,,,
Aldo Montano,Italy,33,185,80,Male,11/18/1978,,Fencing,"Men's Individual Sabre, Men's Team Sabre",Won,,,0.33
Alec Page,Canada,18,179,73,Male,11/8/1993,Victoria (CAN),Swimming,"Men's 400m Individual Medley, Men's 4x200m Freestyle Relay",Not Won,,,
Aleh Yurenia,Belarus,22,186,90,Male,5/21/1990,Slonim (BLR),Canoe Sprint,Men's Kayak Single (K1) 1000m,Not Won,,,
Alejandra Benitez,Venezuela,32,162,58,Female,7/7/1980,,Fencing,Women's Individual Sabre,Not Won,,,
Alejandra Orozco Loza,Mexico,15,156,47,Female,4/19/1997,ZAPOPAN (MEX),Diving,Women's Synchronised 10m Platform,Won,,0.2,
Alejandra Quereda,Spain,20,175,,Female,7/24/1992,ALICANTE (ESP),Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Alejandra Valencia,Mexico,17,176,74,Female,10/17/1994,Hermosillo,Archery,"Women's Individual, Women's Team",Not Won,,,
Alejandra Zavala,Mexico,28,163,82,Female,6/16/1984,GUADALAJARA (MEX),Shooting,Women's 10m Air Pistol,Not Won,,,
Alejandro Falla,Colombia,28,181,82,Male,11/14/1983,,Tennis,Men's Singles,Not Won,,,
Alejandro Foglia Costa,Uruguay,28,189,84,Male,1/30/1984,Montevideo (URU),Sailing,Men's Laser,Not Won,,,
Alejandro Gomez Perez,Venezuela,27,184,77,Male,4/22/1985,Caracas (VEN),Swimming,Men's 1500m Freestyle,Not Won,,,
Alejandro Madorno,Argentina,40,183,73,Male,12/12/1971,Buenos Aires (ARG),Equestrian,"Individual Jumping, MILANO DE FLORE",Not Won,,,
Alejandro Silva,Uruguay,22,178,69,Male,9/4/1989,,Football,Men's Football,Not Won,,,
Alejandro Valverde Belmonte,Spain,32,176,62,Male,4/25/1980,Murcia (ESP),Cycling - Road,Men's Road Race,Not Won,,,
Alejandro Zuniga,Chile,24,163,66,Male,5/12/1988,Santiago (CHI),Judo,Men's -66kg,Not Won,,,
Aleks Maric,Australia,27,211,125,Male,10/22/1984,,Basketball,Men's Basketball,Not Won,,,
Aleksa Saponjic,Serbia,20,191,98,Male,6/4/1992,Beograd (SRB),Water Polo,Men's Water Polo,Not Won,,,
Aleksandar Aleksandrov,Bulgaria,27,164,,Male,10/31/1984,Sofia (BUL),Boxing,Men's Light Fly (49kg),Not Won,,,
Aleksandar Aleksandrov,Azerbaijan,22,189,94,Male,4/9/1990,,Rowing,Men's Single Sculls,Not Won,,,
Aleksandar Aleksic,Serbia,20,188,89,Male,4/13/1992,,Canoe Sprint,Men's Kayak Four (K4) 1000m,Not Won,,,
Aleksandar Atanasijevic,Serbia,20,200,84,Male,9/4/1991,Beograd (SRB),Volleyball,Men's Volleyball,Not Won,,,
Aleksandar Drenovak,Serbia,28,182,,Male,12/30/1983,VRNJACKA BANJA (SRB),Boxing,Men's Middle (75kg),Not Won,,,
Aleksandar Ivovic,Montenegro,26,197,105,Male,2/24/1986,,Water Polo,Men's Water Polo,Not Won,,,
Aleksandar Karakasevic,Serbia,36,180,84,Male,12/9/1975,Beograd (SRB),Table Tennis,Men's Singles,Not Won,,,
Aleksandar Maksimovic,Serbia,24,180,66,Male,2/26/1988,Beograd (SRB),Wrestling,Men's 66kg Greco-Roman,Not Won,,,
Aleksandar Stoyanov Kostadinov,Bulgaria,24,160,55,Male,7/28/1988,KYUSTENDIL (BUL),Wrestling,Men's 55kg Greco-Roman,Not Won,,,
Aleksander Lesun,Russian Federation,24,182,75,Male,7/1/1988,MINSK REGION,Modern Pentathlon,Men's Modern Pentathlon,Not Won,,,
Aleksander Tammert,Estonia,39,196,124,Male,2/2/1973,Tartu (EST),Athletics,Men's Discus Throw,Not Won,,,
Aleksandr Balandin,Russian Federation,23,165,,Male,6/20/1989,PETROZAVODSK (RUS),Gymnastics - Artistic,"Men's Team, Men's Qualification",Not Won,,,
Aleksandr Gutor,Belarus,23,190,83,Male,4/18/1989,,Football,Men's Football,Not Won,,,
Aleksandr Kazakevic,Lithuania,26,176,74,Male,6/12/1986,Vilnius (LTU),Wrestling,Men's 74kg Greco-Roman,Won,,,1
Aleksandr Lipatov,Russian Federation,31,185,76,Male,6/10/1981,Sankt,Canoe Slalom,Men's Canoe Single (C1),Not Won,,,
Aleksandr Menkov,Russian Federation,21,178,74,Male,12/7/1990,Krasnoyarsk Region (RUS),Athletics,Men's Long Jump,Not Won,,,
Aleksandr Onishchenko,Ukraine,43,175,76,Male,3/31/1969,RUSSIA (RUS),Equestrian,"Individual Jumping, Team Jumping, COMTE D'ARSOUILLES",Not Won,,,
Aleksandr Petrov,Russian Federation,25,187,79,Male,8/9/1986,Bryansk (RUS),Athletics,Men's Long Jump,Not Won,,,
Aleksandr Shustov,Russian Federation,28,199,85,Male,6/29/1984,Karaganda (),Athletics,Men's High Jump,Not Won,,,
Aleksandra Cotti,Italy,23,166,64,Female,12/13/1988,SAN GIOVANNI PERSICETO (ITA),Water Polo,Women's Water Polo,Not Won,,,
Aleksandra Dawidowicz,Poland,25,167,57,Female,2/4/1987,Kalisz (POL),Cycling - Mountain Bike,Women's Cross-country,Not Won,,,
Aleksandra Fedoriva,Russian Federation,23,175,60,Female,9/13/1988,Moscow (RUS),Athletics,"Women's 200m, Women's 4 x 100m Relay",Not Won,,,
Aleksandra J Klejnowska-Krzywanska,Poland,29,156,53,Female,12/17/1982,Lubin,Weightlifting,Women's 53kg,Not Won,,,
Aleksandra Kotlyarova,Uzbekistan,23,175,60,Female,10/10/1988,Samarkand (UZB),Athletics,Women's Triple Jump,Not Won,,,
Aleksandra Privalova,Belarus,24,178,70,Female,10/29/1987,Minsk,Table Tennis,Women's Singles,Not Won,,,
Aleksandra Putra,Poland,25,181,65,Female,9/20/1986,Olsztyn (POL),Swimming,Women's 4x200m Freestyle Relay,Not Won,,,
Aleksandra Wozniak,Canada,24,175,63,Female,9/7/1987,,Tennis,"Women's Singles, Women's Doubles",Not Won,,,
Aleksandrs Samoilovs,Latvia,27,195,92,Male,4/6/1985,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Aleksei Gavrilovich,Belarus,22,183,79,Male,1/5/1990,,Football,Men's Football,Not Won,,,
Aleksei Kozlov,Belarus,23,176,66,Male,7/11/1989,,Football,Men's Football,Not Won,,,
Aleksejs Rumjancevs,Latvia,26,185,86,Male,2/13/1986,Riga (LAT),Canoe Sprint,Men's Kayak Double (K2) 200m,Not Won,,,
Aleksejs Saramotins,Latvia,30,184,75,Male,4/8/1982,Riga (LAT),Cycling - Road,Men's Road Race,Not Won,,,
Aleksey Dremin,Russian Federation,23,186,80,Male,5/10/1989,Chelyabinsk (RUS),Athletics,Men's 110m Hurdles,Not Won,,,
Aleksey Zagornyi,Russian Federation,34,197,135,Male,5/31/1978,Yaroslavl (RUS),Athletics,Men's Hammer Throw,Not Won,,,
Alena Amialiusik,Belarus,23,169,53,Female,2/6/1989,BOBRUISK (BLR),Cycling - Road,Women's Road Race,Not Won,,,
Alena Danilochkina,Russian Federation,26,186,70,Female,1/27/1986,,Basketball,Women's Basketball,Not Won,,,
Alena Dylko,Belarus,23,162,62,Female,9/14/1988,KOSSOVO (BLR),Cycling - Track,Women's Team Pursuit,Not Won,,,
Alena Hanusova,Czech Republic,21,190,83,Female,5/29/1991,,Basketball,Women's Basketball,Not Won,,,
Alena Kiyevich,Belarus,24,165,60,Female,10/6/1987,Brest (BLR),Athletics,Women's 4 x 400m Relay,Not Won,,,
Alena Matoshka,Belarus,30,177,80,Female,6/23/1982,Novopolotsk (BLR),Athletics,Women's Hammer Throw,Not Won,,,
Alena Tseliapushkina,Belarus,43,165,58,Female,1/22/1969,KORCHEVJINA VILL. (BLR),Equestrian,"Individual Eventing, PASSAT",Not Won,,,
Aleni Smith,Samoa,29,183,73,Male,12/5/1982,FALEALUPO (SAM),Judo,Men's -73kg,Not Won,,,
Alesia Zaitsava,Belarus,26,162,60,Female,8/14/1985,Brest,Badminton,Women's Singles,Not Won,,,
Alessandra Aguilar,Spain,34,165,50,Female,7/1/1978,Lugo (ESP),Athletics,Women's Marathon,Not Won,,,
Alessandra Perilli,San Marino,24,170,75,Female,4/1/1988,RIMINI (ITA),Shooting,Women's Trap,Not Won,,,
Alessandra Sensini,Italy,42,167,58,Female,1/26/1970,GROSSETO (ITA),Sailing,Women's RS-X,Not Won,,,
Alessandro Fabian,Italy,24,186,75,Male,1/7/1988,Padova (ITA),Triathlon,Men's Triathlon,Not Won,,,
Alessandro Fei,Italy,33,204,90,Male,11/29/1978,SARONNO (ITA),Volleyball,Men's Volleyball,Not Won,,,
Alessia Filippi,Italy,25,186,63,Female,6/23/1987,Roma (ITA),Swimming,Women's 200m Backstroke,Not Won,,,
Alessio Sartori,Italy,35,202,100,Male,11/13/1976,,Rowing,Men's Double Sculls,Won,,0.5,
Alethea Nevada Sedgman,Australia,18,179,65,Female,1/24/1994,Carlton (AUS),Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions",Not Won,,,
Alex Bogomolov Jr,Russian Federation,29,178,77,Male,4/23/1983,,Tennis,Men's Singles,Not Won,,,
Alex Bruce,Canada,22,182,75,Female,5/27/1990,Toronto,Badminton,Women's Doubles,Not Won,,,
Alex Danson,Great Britain,27,171,56,Female,5/21/1985,Southampton (GBR),Hockey,Women's Hockey,Not Won,,,
Alex di Giorgio,Italy,22,185,75,Male,7/28/1990,Roma (ITA),Swimming,Men's 4x200m Freestyle Relay,Not Won,,,
Alex Feneridis,New Zealand,22,186,77,Male,11/13/1989,,Football,Men's Football,Not Won,,,
Alex Garcia,Brazil,32,192,102,Male,3/4/1980,,Basketball,Men's Basketball,Not Won,,,
Alex Genest,Canada,26,178,61,Male,6/30/1986,Shawinigan (CAN),Athletics,Men's 3000m Steeplechase,Not Won,,,
Alex Giorgetti,Italy,24,187,78,Male,12/24/1987,Budapest (HUN),Water Polo,Men's Water Polo,Not Won,,,
Alex Gregory,Great Britain,28,198,98,Male,3/11/1984,,Rowing,Men's Four,Won,0.25,,
Alex Haas,Australia,17,171,63,Male,2/11/1995,Brisbane (AUS),Canoe Sprint,Men's Canoe Double (C2) 1000m,Not Won,,,
Alex McCarthy,Great Britain,22,193,88,Male,12/3/1989,,Football,Men's Football,Not Won,,,
Alex Meyer,United States of America,24,178,75,Male,7/5/1988,Rochester (USA),Swimming,Men's 10km Marathon,Not Won,,,
Alex Misael Suligoy,Argentina,21,180,90,Male,12/3/1990,MALABRIGO (ARG),Shooting,Men's 50m Rifle Prone,Not Won,,,
Alex Morgan,United States of America,23,173,62,Female,7/2/1989,,Football,Women's Football,Won,0.09,,
Alex Parsonage,Great Britain,27,180,87,Male,4/30/1985,DUDLEY (GBR),Water Polo,Men's Water Polo,Not Won,,,
Alex Partridge,Great Britain,31,193,93,Male,1/25/1981,,Rowing,Men's Eight,Won,,,0.111
Alex Quinonez,Ecuador,22,176,65,Male,8/11/1989,Esmeraldas (ECU),Athletics,Men's 200m,Not Won,,,
Alex Rutlidge,Great Britain,23,170,62,Female,11/12/1988,,Water Polo,Women's Water Polo,Not Won,,,
Alex Sandro Lobo Silva,Brazil,21,179,79,Male,1/26/1991,,Football,Men's Football,Not Won,,,
Alex Schwazer,Italy,27,187,70,Male,12/26/1984,Vipiteno (ITA),Athletics,Men's 50km Race Walk,Not Won,,,
Alex Scott,Great Britain,27,163,59,Female,10/14/1984,,Football,Women's Football,Not Won,,,
Alex Wilson,Switzerland,21,182,78,Male,9/19/1990,Kingston (JAM),Athletics,Men's 200m,Not Won,,,
Alexa Komarnycky,Canada,22,180,68,Female,10/5/1989,Toronto (CAN),Swimming,Women's 800m Freestyle,Not Won,,,
Alexander Bryukhankov,Russian Federation,25,186,76,Male,4/12/1987,Yaroslavl Region (RUS),Triathlon,Men's Triathlon,Not Won,,,
Alexander Bury,Belarus,24,203,93,Male,9/14/1987,,Tennis,Men's Doubles,Not Won,,,
Alexander Butko,Russian Federation,26,198,97,Male,3/18/1986,Grodno (),Volleyball,Men's Volleyball,Not Won,,,
Alexander Dyachenko,Russian Federation,22,180,85,Male,1/24/1990,,Canoe Sprint,Men's Kayak Double (K2) 200m,Not Won,,,
Alexander Edmondson,Australia,18,182,75,Male,12/22/1993,MIRI (MAS),Cycling - Track,Men's Team Pursuit,Not Won,,,
Alexander Gehbauer,Austria,22,187,67,Male,4/24/1990,BENSHEIM (GER),Cycling - Mountain Bike,Men's Cross-country,Not Won,,,
Alexander Horst,Austria,29,185,88,Male,12/20/1982,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Alexander John,Germany,26,185,82,Male,5/3/1986,Zeulenroda (GER),Athletics,Men's 110m Hurdles,Not Won,,,
Alexander Kirkland,Bermuda,29,,,Male,2/11/1983,Paget (BER),Sailing,Men's 49er,Not Won,,,
Alexander Kosenkow,Germany,35,178,72,Male,3/14/1977,TOKMAK (KGZ),Athletics,Men's 4 x 100m Relay,Not Won,,,
Alexander Kristoff,Norway,25,,,Male,7/5/1987,Oslo (NOR),Cycling - Road,Men's Road Race,Won,,,1
Alexander Lopez,Honduras,20,170,70,Male,6/5/1992,,Football,Men's Football,Not Won,,,
Alexander Massialas,United States of America,18,191,76,Male,4/20/1994,,Fencing,"Men's Individual Foil, Men's Team Foil",Not Won,,,
Alexander Mikhaylin,Russian Federation,32,195,115,Male,8/18/1979,Moscow (RUS),Judo,Men's +100kg,Won,,1,
Alexander Ndoumbou,Gabon,20,179,70,Male,1/4/1992,,Football,Men's Football,Not Won,,,
Alexander Osborne,United States of America,25,191,95,Male,5/4/1987,,Rowing,Men's Quadruple Sculls,Not Won,,,
Alexander Peternell,South Africa,31,181,76,Male,2/11/1981,ROODEPOORT (RSA),Equestrian,"Individual Eventing, ASIH",Not Won,,,
Alexander Petersson,Iceland,32,189,93,Male,7/2/1980,,Handball,Men's Handball,Not Won,,,
Alexander Peya,Austria,32,182,82,Male,6/27/1980,,Tennis,Men's Doubles,Not Won,,,
Alexander Serov,Russian Federation,29,189,76,Male,11/12/1982,Leningrad Region (RUS),Cycling - Track,Men's Team Pursuit,Not Won,,,
Alexander Shatilov,Israel,25,183,,Male,3/22/1987,Tashkent (UZB),Gymnastics - Artistic,"Men's Individual All-Around, Men's Qualification",Not Won,,,
Alexander Shibaev,Russian Federation,21,194,77,Male,9/9/1990,Yaroslavl,Table Tennis,"Men's Singles, Men's Team",Not Won,,,
Alexander Smith,Great Britain,24,183,115,Male,3/6/1988,Hull (GBR),Athletics,Men's Hammer Throw,Not Won,,,
Alexander Sukhorukov,Russian Federation,24,197,92,Male,2/22/1988,KOMI REGION (RUS),Swimming,Men's 4x200m Freestyle Relay,Not Won,,,
Alexander Tikhonov,Russian Federation,24,183,83,Male,5/4/1988,Chelyabinsk Region (RUS),Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley",Not Won,,,
Alexander Volkov,Russian Federation,27,210,95,Male,2/14/1985,Moscow (RUS),Volleyball,Men's Volleyball,Not Won,,,
Alexandr Dyadchuk,Kazakhstan,29,183,87,Male,2/5/1983,,Canoe Sprint,"Men's Canoe Single (C1) 1000m, Men's Canoe Single (C1) 200m",Not Won,,,
Alexandr Ivanov,Russian Federation,23,176,94,Male,7/22/1989,RUSTAVI (),Weightlifting,Men's 94kg,Won,,1,
Alexandr Kolobnev,Russian Federation,31,174,64,Male,5/4/1981,GORKIY REGION (RUS),Cycling - Road,Men's Road Race,Not Won,,,
Alexandr Nikolaenko,Russian Federation,32,190,78,Male,6/6/1980,Novosibirsk,Badminton,Mixed Doubles,Not Won,,,
Alexandr Shvedov,Kazakhstan,39,197,85,Male,4/11/1973,,Water Polo,Men's Water Polo,Not Won,,,
Alexandr Tarabrin,Kazakhstan,27,188,75,Male,4/24/1985,Almaty (KAZ),Swimming,"Men's 100m Backstroke, Men's 200m Backstroke",Not Won,,,
Alexandr Vinokurov,Kazakhstan,38,176,69,Male,9/16/1973,Pavlodar (KAZ),Cycling - Road,"Men's Individual Time Trial, Men's Road Race",Won,1,,
Alexandr Zaichikov,Kazakhstan,19,,105,Male,8/17/1992,Minsk,Weightlifting,Men's 105kg,Not Won,,,
Alexandra Antonova,Russian Federation,20,170,55,Female,12/22/1991,NAMANGAN (),Water Polo,Women's Water Polo,Not Won,,,
Alexandra Bujdoso,Germany,22,160,53,Female,3/5/1990,,Fencing,Women's Individual Sabre,Not Won,,,
Alexandra Engelhardt,Germany,29,160,55,Female,12/29/1982,Munchen (GER),Wrestling,Women's 48kg Freestyle,Not Won,,,
Alexandra Engen,Sweden,24,175,65,Female,1/5/1988,Sarpsborg (NOR),Cycling - Mountain Bike,Women's Cross-country,Not Won,,,
Alexandra Fisher,Kazakhstan,24,174,63,Female,6/3/1988,Pavlodar (KAZ),Athletics,Women's Shot Put,Not Won,,,
Alexandra Hagan,Australia,21,180,76,Female,3/21/1991,,Rowing,Women's Eight,Not Won,,,
Alexandra Lacrabere,France,25,177,77,Female,4/27/1987,,Handball,Women's Handball,Not Won,,,
Alexandra Landry,Canada,18,170,,Female,2/10/1994,Montreal (CAN),Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Alexandra Merkulova,Russian Federation,16,171,,Female,11/25/1995,Moscow (RUS),Gymnastics - Rhythmic,Individual All-Around,Not Won,,,
Alexandra Nascimento,Brazil,30,177,67,Female,9/16/1981,,Handball,Women's Handball,Not Won,,,
Alexandra Papayeoryiou,Greece,31,175,75,Female,12/17/1980,Amarousio (GRE),Athletics,Women's Hammer Throw,Not Won,,,
Alexandra Patskevich,Russian Federation,23,169,,Female,11/4/1988,Moscow (RUS),Synchronised Swimming,Women's Teams,Not Won,,,
Alexandra Podryadova,Kazakhstan,23,160,48,Female,5/11/1989,Shymkent (KAZ),Judo,Women's -48kg,Not Won,,,
Alexandra Raisman,United States of America,18,157,,Female,5/25/1994,Boston (USA) ,Gymnastics - Artistic,"Women's Floor Exercise, Women's Beam, Women's Individual All-Around, Women's Team, Women's Qualification     ",Won,1.2,,1
Alexandra Razarenova,Russian Federation,22,169,55,Female,7/17/1990,Leningrad (RUS),Triathlon,Women's Triathlon,Not Won,,,
Alexandra Tsiavou,Greece,26,178,61,Female,9/26/1985,,Rowing,Women's Lightweight Double Sculls,Won,,,0.5
Alexandra Wenk,Germany,17,179,61,Female,2/7/1995,Munchen (GER),Swimming,"Women's 100m Butterfly, Women's 4x100m Medley Relay",Not Won,,,
Alexandre Bouzaid,Senegal,31,172,64,Male,6/26/1981,,Fencing,Men's Individual Epee,Not Won,,,
Alexandre de Saedeleer,Belgium,24,183,77,Male,11/14/1987,,Hockey,Men's Hockey,Not Won,,,
Alexandre Despatie,Canada,27,173,76,Male,6/8/1985,Montreal (CAN),Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard",Not Won,,,
Alexandre Emond,Canada,28,186,90,Male,5/25/1984,Laval (CAN),Judo,Men's -90kg,Not Won,,,
Alexandre Fabregas,Spain,31,184,83,Male,10/25/1980,,Hockey,Men's Hockey,Not Won,,,
Alexandre Liess,Switzerland,21,181,75,Male,6/20/1991,Genève (SUI),Swimming,Men's 200m Butterfly,Not Won,,,
Alexandre Rodrigues Da Silva,Brazil,22,180,77,Male,9/2/1989,,Football,Men's Football,Not Won,,,
Alexandros Nikolaidis,Greece,32,200,,Male,10/17/1979,Thessaloniki (GRE),Taekwondo,Men's +80kg,Not Won,,,
Alexandros Papadimitriou,Greece,39,183,120,Male,6/18/1973,Larisa (GRE),Athletics,Men's Hammer Throw,Not Won,,,
Alexandros Papamihail,Greece,23,175,62,Male,9/18/1988,Karditsa (GRE),Athletics,"Men's 20km Race Walk, Men's 50km Race Walk",Not Won,,,
Alexandru Coci,Romania,22,174,70,Male,10/31/1989,BAIA MARE (ROU),Swimming,Men's 200m Butterfly,Not Won,,,
Alexandru Ghiban,Romania,25,196,96,Male,10/12/1986,MIZIL (ROU),Water Polo,Men's Water Polo,Not Won,,,
Alexandru Matei,Romania,31,195,95,Male,12/31/1980,Bucuresti (ROU),Water Polo,Men's Water Polo,Not Won,,,
Alexandru Siriteanu,Romania,28,182,81,Male,16/04/1984 (ROU),,Fencing,Men's Team Sabre,Not Won,,,
Alexei Bel,Cuba,22,,,Male,6/18/1990,Camaguey (CUB),Wrestling,Men's 74kg Greco-Roman,Not Won,,,
Alexei Kamenski,Russian Federation,29,170,66,Male,1/11/1983,BARNAUL (RUS),Shooting,Men's 10m Air Rifle,Not Won,,,
Alexei Klimov,Russian Federation,36,182,77,Male,8/27/1975,Tomsk (RUS),Shooting,Men's 25m Rapid Fire Pistol,Not Won,,,
Alexey Alipov,Russian Federation,36,175,85,Male,8/7/1975,Moscow (RUS),Shooting,Men's Trap,Not Won,,,
Alexey Cheremisinov,Russian Federation,27,180,78,Male,7/9/1985,,Fencing,"Men's Individual Foil, Men's Team Foil",Not Won,,,
Alexey Denisenko,Russian Federation,18,180,,Male,8/30/1993,Rostov Region (RUS),Taekwondo,Men's -58kg,Won,,,1
Alexey Dergunov,Kazakhstan,27,190,90,Male,9/16/1984,Uralsk (KAZ),Canoe Sprint,"Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m",Not Won,,,
Alexey Khovanskiy,Russian Federation,25,186,80,Male,09/06/1987 (RUS),,Fencing,Men's Team Foil,Not Won,,,
Alexey Korovashkov,Russian Federation,20,181,82,Male,4/1/1992,UKRAINA REGION (RUS),Canoe Sprint,Men's Canoe Double (C2) 1000m,Won,,,0.5
Alexey Markov,Russian Federation,33,181,81,Male,5/26/1979,Moscow (RUS),Cycling - Track,Men's Team Pursuit,Not Won,,,
Alexey Obmochaev,Russian Federation,23,188,90,Male,5/22/1989,,Volleyball,Men's Volleyball,Not Won,,,
Alexey Panfili,Kazakhstan,38,198,98,Male,1/5/1974,Bishkek (KGZ),Water Polo,Men's Water Polo,Not Won,,,
Alexey Shmider,Kazakhstan,22,183,81,Male,3/19/1990,,Water Polo,Men's Water Polo,Not Won,,,
Alexey Shved,Russian Federation,23,198,84,Male,12/16/1988,,Basketball,Men's Basketball,Not Won,,,
Alexey Smirnov,Russian Federation,34,174,70,Male,10/9/1977,Tolyatti (RUS),Table Tennis,"Men's Singles, Men's Team",Not Won,,,
Alexey Svirin,Russian Federation,33,202,104,Male,12/15/1978,,Rowing,Men's Quadruple Sculls,Not Won,,,
Alexey Yakimenko,Russian Federation,28,184,79,Male,10/31/1983,,Fencing,"Men's Individual Sabre, Men's Team Sabre",Not Won,,,
Alexia Kyriazi,Greece,16,170,,Female,12/15/1995,Amarousio (GRE),Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Alexianne Castel,France,22,180,76,Female,7/25/1990,Bordeaux (FRA),Swimming,"Women's 100m Backstroke, Women's 200m Backstroke",Not Won,,,
Alexis Copello,Cuba,26,,,Male,8/12/1985,Santiago de Cuba (CUB),Athletics,Men's Triple Jump,Not Won,,,
Alexis G Martinez,Mexico,21,161,51,Female,5/19/1991,SALAMANCA (MEX),Shooting,Women's 50m Rifle 3 Positions,Not Won,,,
Alexis Gonzalez,Argentina,31,184,83,Male,7/21/1981,Buenos Aires (ARG),Volleyball,Men's Volleyball,Not Won,,,
Alexis Pritchard,New Zealand,28,178,,Female,9/24/1983,BELLVILLE (RSA),Boxing,Women's Light (60kg),Not Won,,,
Alfonso Benavidez Lopez de Ayala,Spain,21,181,84,Male,3/9/1991,,Canoe Sprint,Men's Canoe Single (C1) 200m,Not Won,,,
Alfredo Mejia,Honduras,22,170,70,Male,4/3/1990,,Football,Men's Football,Not Won,,,
